"x","cod","dsc","jan","fev","Mar","Abr","Mai","Jun","Jul","Ago","Set","Out","Nov","Dez","macho","fema","ini","fim","dia",
"xxx","01","AFTOSA",FALSO,FALSO,FALSO,FALSO,VERDADEIRO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADEIRO,FALSO,VERDADEIRO,VERDADEIRO,0,200,,"zzz"
"xxx","99","VACINA AFTOSA",VERDADEIRO,VERDADEIRO,VERDADEIRO,VERDADEIRO,VERDADEIRO,VERDADEIRO,VERDADEIRO,VERDADEIRO,VERDADEIRO,VERDADEIRO,VERDADEIRO,VERDADEIRO,VERDADEIRO,VERDADEIRO,,,,"zzz"
"xxx","AR","AVALIAÇÃO REPRODUTIVA",FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADEIRO,,,,"zzz"
"xxx","BR","BRUCELOSE",FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADEIRO,3,8,,"zzz"
"xxx","CA","CASQUIAMENTO",FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADEIRO,VERDADEIRO,,,,"zzz"
"xxx","CB","CIRUGIA UMBIGO",FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADEIRO,VERDADEIRO,,,,"zzz"
"xxx","CE","CERATO/CONJUNTIVITE",FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADEIRO,VERDADEIRO,,,,"zzz"
"xxx","CI","CIOSIN",FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADEIRO,,,,"zzz"
"xxx","CJ","CASQUIAMENTO- JOAQUIM CORDEIRO",FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADEIRO,VERDADEIRO,,,,"zzz"
"xxx","CL","CLOSTRIDIOSE",FALSO,VERDADEIRO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADEIRO,VERDADEIRO,,,,"zzz"
"xxx","CM","IBR/BVD/LEPTOSPIROSE",FALSO,VERDADEIRO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADEIRO,VERDADEIRO,,,,"zzz"
"xxx","CO","CORPO LUTEO",FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADEIRO,VERDADEIRO,,,,"zzz"
"xxx","CP","CASQUEAMENTO PREVENTIVO",FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADEIRO,VERDADEIRO,,,,"zzz"
"xxx","CS","CISTO",FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADEIRO,VERDADEIRO,,,,"zzz"
"xxx","CT","CONTEUDO UTERINO",FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADEIRO,VERDADEIRO,,,,"zzz"
"xxx","CZ","CASQUIAMENTO -- ZÉ GANCHO",FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADEIRO,VERDADEIRO,,,,"zzz"
"xxx","DI","DIARREIA",FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADEIRO,VERDADEIRO,,,,"zzz"
"xxx","DS","DIARREIA DE SANGUE",FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADEIRO,VERDADEIRO,,,,"zzz"
"xxx","FR","FRAQUEZA",FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADEIRO,VERDADEIRO,,,,"zzz"
"xxx","IC","IMPLANTE PARA CIO",FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADEIRO,,,,"zzz"
"xxx","IF","INFECÇÃO",FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADEIRO,VERDADEIRO,,,,"zzz"
"xxx","IN","INTOXICAÇÃO",FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADEIRO,VERDADEIRO,,,,"zzz"
"xxx","IP","INFECÇÃO PÉ",FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADEIRO,VERDADEIRO,,,,"zzz"
"xxx","IT","INFECÇÃO UTERINA",FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADEIRO,,,,"zzz"
"xxx","IU","INFECÇÃO NO UMBIGO",FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADEIRO,VERDADEIRO,,,,"zzz"
"xxx","MD","MAO DESLOCADA",FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADEIRO,VERDADEIRO,,,,"zzz"
"xxx","MI","MÃO INCHADA",FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADEIRO,VERDADEIRO,,,,"zzz"
"xxx","PC","PICADA CARCARÁ",FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADEIRO,VERDADEIRO,,,,"zzz"
"xxx","PE","PERNAS E REGIAO VENTRAL INCHAD",FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADEIRO,VERDADEIRO,,,,"zzz"
"xxx","PH","MUDANÇA PH UTERINO",FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADEIRO,,,,"zzz"
"xxx","PI","PE INCHADO",FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADEIRO,VERDADEIRO,,,,"zzz"
"xxx","PN","PNEUMONIA",FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADEIRO,VERDADEIRO,,,,"zzz"
"xxx","PO","CIRURGIA DE PROLÓPIO",FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADEIRO,VERDADEIRO,,,,"zzz"
"xxx","RP","RETENÇÃO PLACENTA",FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADEIRO,,,,"zzz"
"xxx","TR","TRISTEZINHA",FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADEIRO,VERDADEIRO,,,,"zzz"
"xxx","UI","UMBIGO INCHADO",FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADEIRO,VERDADEIRO,,,,"zzz"
